cgpa,aptitude,communication,skills,internships,projects,shortlisted
6.4,73,75,7,1,1,1
5.82,75,80,3,1,2,0
6.47,56,79,8,2,2,1
7.17,89,90,6,0,6,1
8.99,55,46,6,0,5,1
6.68,45,80,4,1,0,1
7.42,75,84,5,4,4,1
7.18,57,54,5,0,2,0
8.39,74,60,5,4,1,1
9.73,33,60,6,2,4,0
6.67,90,62,3,2,1,0
6.71,80,65,4,0,3,0
8.24,47,75,4,0,4,0
7.88,47,83,4,0,3,0
9.05,95,86,3,1,6,1
7.78,58,61,3,4,4,1
6.84,57,61,4,0,4,0
7.79,36,89,5,1,3,0
8.31,64,80,2,0,0,0
8.02,66,73,7,2,4,1
7.71,80,78,6,0,6,1
8.27,49,71,6,0,3,0
8.37,47,78,3,0,6,0
8.58,76,67,5,2,1,1
7.85,85,75,5,0,2,1
7.03,46,52,8,0,2,0
7.35,86,63,6,0,3,1
8.41,70,63,5,4,4,0
6.38,86,67,7,1,2,1
7.57,68,59,3,2,5,0
6.81,32,65,1,2,3,0
7.23,67,52,5,0,3,0
8.48,85,79,3,1,4,0
7.39,56,70,3,0,1,0
7.25,64,49,6,1,4,1
5.84,67,61,4,1,2,0
7.95,30,76,5,1,2,0
7.85,95,64,7,0,3,1
9.36,56,62,4,0,5,0
6.89,77,71,3,2,3,0
7.42,68,76,3,2,4,0
7.45,88,53,3,0,4,0
8.78,76,79,2,0,2,1
7.1,66,61,3,3,5,0
7.48,56,71,4,2,3,0
7.81,81,71,4,4,2,1
7.39,41,65,6,0,3,1
6.75,79,58,7,1,2,0
7.39,53,68,6,0,2,0
8.27,88,93,5,1,2,1
6.17,72,54,3,0,2,0
7.33,79,94,6,0,4,1
6.5,71,68,4,0,3,1
8.4,43,72,3,2,4,0
5.68,57,57,6,1,2,0
6.64,80,61,4,1,4,0
7.58,72,65,3,3,1,1
8.77,87,58,7,2,3,1
7.13,76,69,7,1,2,1
6.64,55,66,4,4,3,1
9.08,58,96,4,1,2,0
5.75,71,56,5,0,4,0
5.0,35,73,6,4,5,0
7.64,95,75,2,0,4,0
6.7,76,58,5,1,2,0
6.18,88,80,8,0,2,1
7.91,46,66,4,1,5,0
7.44,88,39,7,1,3,0
6.64,100,80,8,0,6,1
5.92,50,57,4,1,3,0
8.07,81,58,6,2,6,1
7.85,70,80,4,0,6,1
7.1,46,67,6,1,4,1
9.05,77,83,6,0,0,1
6.13,82,87,4,2,3,0
5.67,60,63,6,2,5,0
6.51,87,82,6,3,5,1
7.15,44,62,4,0,2,1
7.44,47,100,3,0,3,0
6.96,72,62,3,0,5,0
7.55,70,85,5,0,3,1
5.95,59,82,8,1,5,1
8.64,82,76,6,4,5,1
7.12,77,63,4,1,5,1
8.32,82,70,5,4,1,1
7.54,68,44,4,0,1,0
7.66,79,74,3,3,1,0
7.77,63,76,5,0,6,1
7.65,100,73,5,3,3,1
7.84,57,33,5,0,1,0
8.53,100,55,8,3,2,1
7.4,70,62,5,0,3,0
7.91,49,75,5,0,5,0
7.11,90,75,3,1,4,1
8.64,71,69,8,1,4,1
6.52,82,80,6,2,0,1
9.0,88,58,7,4,5,1
7.16,75,79,4,1,2,0
5.77,61,78,5,2,4,1
7.33,84,76,5,0,1,1
6.52,70,69,3,1,1,0
8.04,80,95,5,1,0,1
6.55,37,78,7,3,3,1
6.75,76,59,3,1,4,0
5.31,60,75,3,2,1,0
6.75,94,81,6,0,2,1
4.78,79,64,4,0,5,0
5.62,73,86,5,1,1,0
7.96,77,76,5,0,2,1
7.99,55,41,4,0,3,0
7.63,94,75,6,0,5,1
6.23,99,66,5,2,2,0
7.15,75,78,7,0,6,1
7.2,93,84,6,3,3,1
6.04,61,74,7,0,3,1
8.7,58,93,1,0,1,1
8.08,70,69,4,1,4,1
6.98,76,80,3,1,2,0
7.23,64,82,4,1,4,0
7.41,78,70,7,1,2,0
5.16,74,82,5,0,3,1
6.95,55,64,6,2,5,0
6.52,77,66,4,1,4,1
6.2,82,54,4,0,2,0
6.92,72,75,7,2,4,0
9.0,87,76,4,2,4,1
7.84,51,87,6,1,1,1
6.63,77,82,4,2,3,0
7.77,52,68,7,3,2,1
8.6,53,56,5,1,3,0
8.12,60,77,6,0,4,0
7.26,55,86,3,3,2,0
6.55,61,81,5,0,1,0
7.9,66,86,7,0,2,1
7.59,82,69,7,0,6,1
8.1,65,65,2,2,4,0
7.84,46,62,4,3,0,0
8.25,87,71,4,1,3,1
6.66,57,70,3,4,2,0
8.52,69,74,6,0,4,1
7.4,76,70,3,0,3,0
9.28,72,70,4,1,6,0
6.51,86,61,5,4,2,1
8.94,77,84,5,1,3,0
7.4,57,72,6,0,4,0
6.55,100,69,8,0,5,1
6.72,72,62,3,0,3,0
6.88,67,54,6,0,4,0
7.62,84,89,4,0,2,0
7.72,73,79,4,3,3,1
6.63,75,50,2,1,5,0
7.18,100,81,3,2,6,1
9.34,65,83,4,0,4,1
8.93,65,73,4,0,3,0
7.64,71,92,7,1,5,1
7.24,86,74,6,3,0,0
7.32,47,53,8,1,1,0
7.81,40,76,5,3,4,0
6.18,61,75,4,2,2,0
6.94,45,64,4,0,6,0
5.53,63,79,4,0,3,0
7.6,77,50,4,2,3,0
7.85,56,84,5,1,4,1
6.72,48,60,5,0,4,0
8.77,71,59,4,1,3,0
5.97,82,70,3,1,2,1
5.74,44,77,1,3,4,1
7.42,82,74,3,0,2,0
8.25,82,62,3,0,2,0
8.88,84,65,6,1,4,1
6.74,88,57,3,2,1,0
8.28,100,69,6,1,6,1
7.16,64,85,4,3,4,1
7.03,71,71,2,2,6,0
8.08,63,83,6,1,2,0
7.85,70,90,5,0,6,1
5.62,92,64,4,1,1,0
8.68,49,69,7,2,0,0
8.58,57,100,2,2,0,0
6.57,90,90,3,4,3,1
7.6,85,50,6,1,1,0
7.69,64,77,6,1,3,1
7.46,82,72,4,0,2,1
6.65,75,82,2,0,2,0
6.53,92,62,7,0,4,0
7.17,71,61,4,0,2,0
8.37,85,63,3,1,4,0
7.74,100,64,5,0,3,1
6.83,78,82,7,1,5,1
7.97,70,56,2,1,3,0
4.35,80,63,6,1,6,0
8.35,64,48,5,1,3,0
5.46,100,85,4,0,6,0
6.84,72,88,6,4,0,0
6.08,65,67,8,0,4,0
5.91,57,68,3,3,5,0
8.36,86,77,3,0,1,1
6.73,83,91,7,1,3,1
7.55,62,77,5,0,5,0
7.15,78,62,4,0,3,0
7.68,47,50,5,1,1,0
7.28,72,57,6,2,4,0
5.92,76,72,6,0,1,0
8.2,95,63,7,1,5,1
6.71,58,74,4,0,0,0
5.64,50,64,4,1,1,0
6.77,56,58,5,3,2,0
8.7,49,56,4,3,4,1
8.05,90,92,5,1,6,1
6.85,93,83,4,0,1,1
6.85,74,94,3,0,1,0
6.88,88,79,5,4,3,1
9.28,72,66,5,0,5,0
7.58,68,89,6,2,3,1
7.63,65,71,5,1,2,0
8.23,65,74,3,4,3,0
7.44,46,71,4,1,2,0
6.94,73,33,6,1,3,1
7.0,69,92,4,1,2,1
7.13,81,78,5,4,5,1
7.16,71,76,5,4,6,1
7.93,67,71,4,2,4,0
7.25,56,74,6,2,3,1
7.93,71,64,3,1,3,1
7.12,81,80,5,2,1,1
7.28,52,55,3,3,4,1
5.2,71,74,2,1,3,0
8.12,73,79,5,1,5,0
7.55,59,69,5,1,2,0
8.2,61,76,6,1,4,1
4.3,73,59,6,3,4,0
9.29,52,59,6,1,2,1
7.06,75,75,4,0,4,1
8.31,56,80,5,1,6,0
6.16,85,47,5,0,5,1
7.81,100,78,4,1,4,0
6.15,57,64,5,3,0,1
6.58,78,69,7,1,5,1
9.11,59,54,3,3,4,0
7.01,85,60,7,0,2,0
7.42,51,84,2,3,2,0
8.07,77,72,4,1,1,0
7.7,56,67,4,0,1,0
7.35,66,70,5,1,4,1
7.56,54,78,3,4,2,1
9.6,82,77,7,0,0,0
7.14,57,71,6,1,3,1
7.4,78,86,5,3,3,1
8.25,64,84,5,0,2,0
8.31,68,77,7,1,0,1
8.39,72,72,6,1,2,1
7.84,58,80,5,0,4,0
6.06,73,76,6,1,1,0
8.83,92,85,5,0,3,0
6.05,58,83,5,2,1,0
7.5,87,58,4,0,2,1
6.45,92,57,5,0,3,0
7.14,57,62,2,1,1,0
7.53,48,84,4,1,2,1
7.52,74,51,5,0,2,0
7.62,61,77,8,2,2,0
8.81,98,76,8,3,4,1
7.65,70,87,5,3,1,0
6.96,57,74,5,1,5,1
8.16,52,54,3,3,5,0
8.39,86,59,5,3,4,1
5.97,61,56,2,1,2,0
7.8,70,65,4,0,5,0
7.9,84,69,5,0,2,1
6.9,62,56,4,1,1,0
8.58,69,91,2,3,0,1
7.05,69,54,6,1,6,0
7.33,80,89,4,2,2,1
7.03,78,87,2,0,5,0
7.22,66,83,2,0,2,0
6.1,70,62,4,1,5,0
5.76,64,76,3,4,5,0
8.79,47,55,6,1,6,1
6.35,73,83,4,3,3,1
6.21,98,71,6,0,5,1
5.05,56,66,3,1,6,0
6.56,58,56,5,1,2,0
5.88,56,39,5,3,3,0
8.84,80,58,5,0,4,0
8.21,76,86,5,0,2,1
6.51,67,66,7,0,4,0
9.45,56,69,3,3,1,1
8.18,71,80,5,0,3,1
6.88,46,95,7,0,1,0
4.7,72,89,2,1,2,0
9.49,83,59,2,1,2,0
5.81,51,46,4,2,5,1
5.55,47,100,5,3,2,1
8.22,93,100,4,1,5,1
9.64,60,74,3,3,4,1
8.58,87,55,5,2,3,1
7.76,67,84,5,0,2,1
7.79,67,70,4,3,2,0
8.05,76,70,4,2,3,0
7.96,56,83,5,1,0,0
7.48,71,76,7,2,3,0
7.3,64,56,5,1,6,0
7.14,50,67,6,0,2,1
6.45,75,80,4,2,3,0
6.92,66,78,4,2,6,1
5.51,67,75,5,2,5,0
7.1,51,84,6,0,5,1
6.21,93,67,5,4,5,1
6.1,83,74,6,0,2,1
7.38,84,30,8,0,5,0
8.59,65,66,2,0,6,1
8.12,44,81,2,0,3,0
5.63,99,66,3,1,3,0
6.21,69,65,4,1,3,0
8.14,58,58,3,3,2,0
6.22,76,85,7,4,2,1
6.98,87,79,1,2,4,0
7.75,69,82,4,1,3,1
6.23,89,49,3,2,3,0
7.31,86,69,7,2,1,1
5.87,53,68,5,1,4,0
6.6,59,68,7,2,2,0
7.52,84,63,8,1,1,1
5.61,30,67,5,1,4,0
7.64,67,83,4,1,3,1
7.18,48,47,3,2,1,0
7.75,62,95,3,2,3,0
7.42,65,78,6,1,4,1
8.56,64,71,2,1,4,0
7.33,61,83,2,3,3,0
6.77,53,53,5,4,2,0
7.32,100,63,5,0,4,1
7.74,98,70,5,0,5,0
7.25,52,89,4,2,4,1
7.24,93,71,6,1,5,0
6.5,64,77,5,0,3,0
6.54,71,64,3,0,4,0
5.8,69,78,6,2,5,1
8.95,60,93,8,2,4,1
5.96,84,84,2,1,5,1
6.51,71,70,4,1,3,0
6.48,62,80,5,1,5,1
8.09,50,79,3,0,4,0
6.91,56,78,7,1,5,1
8.45,45,86,4,0,0,0
6.53,70,86,6,1,4,0
7.48,52,70,5,0,5,0
6.36,66,80,5,2,2,1
9.35,90,67,3,1,4,1
6.01,87,60,3,1,5,0
7.51,69,68,2,0,2,1
7.83,68,71,4,0,3,0
7.61,98,50,4,1,3,0
7.01,77,83,6,0,3,0
7.07,65,36,4,0,0,0
7.24,48,100,6,1,1,0
7.05,75,91,4,2,1,0
8.16,82,68,6,0,2,0
9.41,60,72,8,1,2,1
6.64,74,75,4,3,4,0
5.83,64,64,7,3,3,0
7.11,67,74,5,0,4,1
9.78,32,70,6,2,1,0
6.4,66,70,5,1,3,0
8.84,84,74,4,4,2,0
8.88,60,54,3,1,5,0
6.65,70,72,2,2,4,0
7.77,58,74,5,2,5,1
8.83,75,73,8,1,0,1
6.82,66,69,6,2,4,0
7.0,55,86,4,0,3,0
6.62,89,67,6,0,5,1
6.19,83,74,6,1,3,1
6.55,60,88,4,3,3,1
5.98,77,70,1,1,1,0
7.23,78,74,3,1,4,0
6.43,79,70,7,1,2,0
7.43,44,88,6,0,0,1
5.64,85,68,4,1,1,0
7.53,61,88,4,2,6,1
8.03,64,70,6,4,2,1
5.21,100,60,7,0,5,1
7.57,74,80,6,1,6,1
8.43,64,68,5,0,6,1
5.99,36,80,4,0,5,0
8.87,90,36,5,1,5,1
7.62,49,72,4,1,2,0
6.49,54,66,6,0,2,0
7.14,65,58,4,0,4,0
7.76,91,64,6,2,3,0
7.28,81,64,4,4,1,0
7.74,67,71,6,0,4,0
6.28,74,54,4,2,3,0
7.37,60,76,4,0,5,1
5.79,72,89,5,3,4,0
7.09,71,75,2,2,3,1
6.3,84,82,7,2,3,1
6.46,84,86,5,0,3,0
8.44,77,88,5,1,6,1
8.29,64,96,6,1,1,0
7.81,81,65,7,0,3,1
6.11,68,62,5,0,4,0
6.88,53,82,7,1,3,0
8.41,63,81,2,2,2,0
7.34,71,82,3,0,2,0
9.52,83,96,5,1,2,1
7.59,67,72,4,0,2,0
7.39,51,77,5,0,5,1
6.89,70,59,4,1,3,0
7.33,71,99,4,0,2,1
7.05,72,67,6,1,3,0
7.91,83,67,5,1,1,1
8.16,85,67,8,1,5,1
6.41,61,63,6,1,3,0
5.87,60,62,4,4,6,1
5.36,54,65,4,1,2,0
7.71,80,54,4,2,5,0
6.1,91,61,6,0,2,0
5.05,65,97,1,1,1,0
7.59,66,81,4,1,0,1
9.69,92,84,7,0,4,1
7.19,77,87,5,1,2,0
8.04,76,95,3,0,3,0
7.28,52,48,3,0,5,0
7.1,80,56,7,0,2,0
8.12,56,61,7,2,2,0
6.91,52,65,4,2,5,0
7.47,64,68,4,0,3,0
7.52,61,66,6,1,5,1
6.53,66,74,6,0,3,0
8.19,48,72,6,0,3,0
7.03,84,62,5,2,2,0
6.44,86,43,7,1,5,0
7.74,40,59,4,0,5,0
6.3,84,64,3,0,6,0
7.23,57,68,6,2,3,0
7.19,82,57,5,0,5,0
8.29,68,65,7,0,3,0
7.67,70,57,3,2,3,1
7.17,67,70,6,1,5,1
8.02,88,58,4,1,2,0
8.59,51,60,5,3,2,0
7.76,79,54,2,0,2,0
7.21,86,70,5,2,4,1
5.89,80,60,6,0,3,0
6.13,100,83,4,1,3,1
6.89,62,77,3,3,6,1
6.59,84,71,5,1,3,0
7.01,68,61,6,2,2,1
7.26,88,76,4,2,4,1
7.73,69,80,4,0,5,0
7.13,64,73,4,2,1,0
7.69,89,92,7,3,4,1
7.26,62,77,4,1,0,0
5.22,48,83,1,0,3,0
6.26,62,73,6,0,2,1
7.06,79,80,5,0,2,0
5.99,90,61,3,0,3,0
7.8,71,66,8,1,6,1
8.73,89,76,5,0,4,1
8.42,49,76,5,0,6,0
6.99,63,78,4,1,4,0
8.69,65,86,7,1,0,1
7.35,68,53,4,1,2,0
6.86,71,59,4,2,5,0
6.59,80,74,3,0,4,0
6.9,63,62,6,0,6,0
6.81,72,100,5,0,2,0
7.37,69,78,5,1,2,0
7.36,56,70,3,0,3,0
7.2,68,65,5,2,2,1
7.64,67,65,6,0,2,1
8.39,67,72,4,3,3,0
8.15,70,73,6,1,4,1
5.72,71,66,4,1,2,0
4.65,63,68,6,2,1,0
8.13,89,89,2,2,4,0
5.83,52,89,5,1,3,0
6.98,59,75,8,3,3,1
6.03,100,54,8,1,3,1
5.4,54,79,4,2,5,1
7.74,49,92,4,1,3,1
7.96,81,89,2,2,6,0
6.62,38,81,7,0,3,0
4.61,66,90,5,0,2,1
6.65,100,72,4,2,3,0
7.59,46,80,3,0,3,0
5.72,40,63,7,0,3,0
7.38,47,75,5,0,4,1
7.18,83,89,4,2,2,0
7.78,86,64,4,3,4,0
7.32,62,60,4,2,4,1
6.23,80,73,5,2,4,1
8.4,90,69,7,1,3,1
7.04,96,80,7,0,6,1
7.17,66,66,5,0,3,1
6.27,35,94,6,1,1,0
6.76,57,55,4,0,5,0
6.32,63,88,4,0,2,0
7.03,66,62,8,1,4,0
8.91,67,48,4,2,2,0
5.83,86,75,4,1,0,0
5.59,89,68,8,2,2,0
8.67,67,57,3,2,3,0
6.99,86,50,6,2,1,0
6.53,75,71,7,4,2,1
8.24,70,84,5,0,4,1
6.59,83,79,1,1,4,0
9.03,71,72,4,3,5,1
7.88,100,78,3,1,5,0
6.71,48,71,4,2,3,1
9.36,62,53,6,1,5,1
6.59,68,53,4,1,3,0
7.94,76,69,4,0,3,0
7.5,89,69,5,4,4,1
8.5,69,83,5,2,2,0
8.76,48,81,7,3,4,0
7.23,82,79,4,2,3,1
6.45,81,68,6,0,1,0
7.66,40,54,5,0,1,0
6.52,69,77,4,3,2,0
9.21,46,78,4,1,5,0
7.34,60,40,4,0,6,0
6.83,56,61,5,1,3,1
7.38,82,63,4,1,2,1
5.85,71,73,7,2,2,0
6.23,50,61,5,1,5,1
8.4,83,71,7,2,2,1
6.54,48,69,2,3,6,1
6.15,74,69,4,0,4,1
7.74,57,62,1,0,5,0
8.39,64,63,4,1,3,0
7.92,77,57,7,4,4,1
8.2,77,76,2,1,4,0
6.44,90,79,4,1,5,0
5.78,68,61,3,2,5,0
8.7,74,91,4,1,3,0
6.88,63,67,6,4,4,0
6.95,72,91,5,3,6,1
8.53,76,63,6,1,6,1
7.76,68,45,4,1,4,0
7.66,42,77,7,0,0,0
9.37,74,75,6,2,1,0
6.56,75,72,4,2,5,1
8.13,59,63,4,1,1,0
7.26,50,71,7,0,2,0
7.47,92,65,5,3,2,1
8.73,77,68,6,1,4,0
7.71,66,82,4,2,3,0
7.74,52,74,3,0,2,0
8.27,57,79,6,1,2,0
6.84,89,68,5,2,4,0
6.36,72,67,5,1,6,1
6.16,61,57,5,1,1,0
5.23,77,67,3,0,1,0
9.26,57,30,6,1,4,0
6.1,92,64,7,3,5,1
6.98,90,70,7,1,4,1
6.92,63,79,4,3,4,1
7.51,60,68,4,3,5,0
8.02,30,76,6,3,2,1
8.06,47,43,5,3,1,0
6.62,49,71,5,0,4,1
7.03,72,50,7,3,5,1
7.48,65,56,5,0,3,0
6.95,49,69,5,0,6,0
8.81,65,88,2,0,4,1
7.69,77,76,2,0,4,0
7.93,77,72,1,1,1,0
7.86,41,71,7,1,1,0
8.37,68,62,4,0,4,0
7.38,49,64,5,1,2,1
5.9,83,77,6,1,0,0
7.6,81,53,5,2,5,1
6.55,56,79,5,0,5,0
6.67,58,66,4,0,2,0
7.79,63,82,6,0,4,1
8.44,36,84,3,0,0,0
7.22,75,50,2,1,2,0
7.51,65,64,3,1,4,0
8.9,84,60,4,0,4,0
7.44,53,48,4,1,0,0
9.8,60,58,5,1,2,0
7.77,47,100,3,4,2,1
5.44,54,79,5,0,6,0
7.95,52,96,3,2,4,0
7.58,84,82,3,2,3,1
8.49,59,62,5,0,1,1
7.87,71,67,7,4,3,1
7.06,64,79,7,2,4,1
5.98,50,77,8,2,5,1
6.99,67,64,5,1,2,0
6.35,78,52,5,1,6,0
6.62,51,100,5,0,3,1
7.79,82,70,5,0,2,0
8.87,57,67,3,2,2,0
7.59,62,73,5,3,3,0
6.0,77,68,4,0,6,0
7.64,60,73,4,2,4,0
8.4,70,88,5,2,3,0
6.59,65,70,3,0,2,0
7.07,71,56,4,1,1,0
7.21,34,69,2,1,3,0
6.42,42,65,8,2,4,0
7.85,79,90,3,2,4,1
7.08,85,87,4,0,2,1
7.62,56,73,7,1,1,1
6.31,66,55,5,2,3,0
6.76,74,56,3,2,5,0
7.92,80,72,4,0,3,0
6.83,39,76,3,1,2,0
8.93,56,67,3,3,2,1
6.8,65,65,2,0,1,0
7.42,80,64,4,1,3,0
8.13,100,71,6,2,4,1
5.78,66,41,5,0,6,0
5.44,48,57,5,3,3,0
5.67,76,63,3,0,2,0
8.46,89,87,4,0,4,0
6.65,71,61,6,0,4,0
9.76,56,74,3,0,1,0
6.64,84,74,7,0,5,0
7.38,79,88,5,2,5,1
8.74,54,88,6,0,3,1
9.21,75,71,4,3,3,1
9.26,84,65,4,1,4,1
8.41,87,63,6,1,4,1
8.22,69,68,6,1,0,0
7.79,64,66,3,2,1,0
7.98,88,79,8,1,2,1
6.65,51,77,3,0,4,0
6.38,76,79,2,3,3,0
7.2,49,88,5,1,3,0
7.03,85,96,6,0,4,0
6.75,66,73,8,1,2,0
7.9,89,86,4,1,4,1
8.16,77,67,1,0,3,0
7.29,51,87,5,2,3,0
8.68,91,85,4,2,2,1
6.06,93,85,4,2,6,1
7.01,83,73,5,1,4,1
6.48,58,63,2,4,0,0
5.33,65,53,5,0,6,0
7.12,72,71,4,1,4,0
7.08,59,91,6,0,1,0
8.71,95,67,5,2,1,1
7.83,72,82,3,0,2,0
6.18,30,82,3,0,4,0
9.05,75,68,4,2,4,1
8.42,64,89,3,1,2,0
7.78,68,34,5,0,3,0
6.97,64,56,8,1,2,0
6.24,82,60,5,2,1,0
6.83,86,61,5,0,3,1
8.29,74,76,4,0,2,1
9.08,64,75,4,4,3,0
8.74,69,77,7,1,6,0
6.71,70,79,8,1,1,0
6.08,57,59,5,2,0,0
7.34,78,56,4,1,1,0
5.43,76,77,6,0,3,0
7.52,93,63,3,0,4,0
7.05,88,51,6,1,3,0
6.73,59,84,6,3,3,1
5.61,82,90,3,0,3,0
7.71,55,92,8,0,2,1
6.67,80,74,8,3,3,1
6.03,62,80,7,0,4,0
4.33,54,89,5,1,2,0
7.17,74,63,4,0,4,1
8.97,30,86,5,1,3,1
8.86,43,75,4,1,2,0
6.74,67,83,3,0,3,0
6.6,71,74,4,1,6,0
7.67,64,88,5,2,0,1
6.2,46,74,2,2,2,0
7.5,57,52,4,1,3,0
7.97,75,90,1,1,4,0
8.43,78,59,6,1,2,1
7.1,69,88,5,1,6,0
7.0,87,70,2,2,4,1
6.32,75,87,8,2,5,0
6.37,58,86,1,1,2,0
6.97,65,77,5,0,5,0
7.57,48,78,6,0,3,0
8.11,68,77,6,0,2,0
6.4,86,45,2,3,5,0
8.69,80,73,7,2,1,1
6.93,91,57,7,1,6,0
7.18,65,74,5,0,3,0
6.45,90,57,5,0,6,0
4.78,67,56,2,3,3,0
8.08,92,92,5,3,4,1
7.94,69,85,4,0,0,1
6.92,80,71,6,2,3,0
7.27,92,74,4,1,4,1
7.72,67,68,5,0,4,0
5.64,73,79,3,2,2,1
6.67,89,63,3,1,3,1
7.99,68,84,3,2,3,0
5.95,50,68,2,0,1,0
7.49,100,66,5,0,3,1
5.84,62,72,6,0,5,1
7.67,72,64,5,0,2,0
7.16,87,76,5,1,3,1
5.58,60,65,5,0,6,0
8.36,54,78,4,1,0,0
6.47,73,87,4,1,3,0
6.39,43,62,4,2,4,0
7.4,65,70,6,1,4,0
8.35,73,77,3,2,4,0
6.18,65,66,1,0,4,0
7.26,46,78,5,0,1,0
7.63,93,79,7,0,3,1
7.89,71,86,5,0,4,1
7.38,91,64,6,0,1,1
6.83,66,59,5,0,0,0
6.37,56,68,5,1,5,0
7.29,74,59,6,4,4,0
6.13,66,79,6,0,3,1
4.28,52,56,3,2,6,0
7.64,92,100,4,0,4,1
8.1,60,88,3,2,6,0
4.84,42,72,5,1,6,0
6.19,89,83,7,3,3,1
7.82,62,50,4,0,4,0
9.26,60,100,4,0,4,1
7.22,43,64,7,0,5,0
6.47,96,70,5,1,4,0
7.02,50,47,5,3,2,0
8.57,70,78,7,2,2,1
6.55,83,57,5,2,2,0
6.4,76,73,5,1,5,1
6.72,69,64,3,3,5,0
6.25,44,57,3,1,3,0
7.32,57,61,4,0,3,0
8.82,72,74,5,2,5,0
7.52,58,55,8,0,2,0
6.95,73,62,8,0,1,0
6.91,80,80,7,0,3,1
5.64,84,100,4,1,5,0
8.08,51,78,8,1,4,0
7.12,100,60,5,0,3,1
7.02,81,67,4,2,1,0
10.0,69,72,6,2,4,1
7.5,86,67,1,3,5,1
6.45,100,83,3,1,4,1
6.77,48,74,6,2,3,0
8.35,66,83,5,2,1,0
7.31,34,67,4,0,5,0
5.76,72,89,5,0,2,0
8.12,75,69,7,1,2,1
6.53,69,59,5,0,5,0
9.07,60,100,4,0,6,1
8.28,39,48,3,1,4,0
6.75,75,62,4,0,4,0
8.48,91,63,8,0,2,1
7.27,61,100,4,1,0,0
8.05,76,95,5,2,2,1
7.68,46,91,5,2,3,1
6.35,76,67,7,1,2,0
6.56,64,100,5,1,5,0
8.23,58,76,5,1,2,1
6.87,58,84,4,0,3,0
6.8,64,74,1,0,3,0
6.24,75,71,7,2,4,1
7.62,50,68,7,1,2,1
9.26,64,69,7,2,5,1
6.13,69,79,7,2,3,1
7.22,53,76,6,0,4,1
8.61,96,71,5,1,4,1
7.12,57,91,6,1,1,0
7.65,59,33,5,1,4,0
6.14,55,78,3,1,3,0
7.63,96,81,4,4,5,1
7.01,78,86,8,2,5,1
8.19,55,71,4,3,2,1
8.39,86,74,7,0,1,1
9.79,73,84,3,0,2,1
7.78,73,91,4,0,6,0
7.53,64,68,4,0,0,0
7.39,58,75,2,1,4,0
6.85,75,93,3,1,4,0
7.54,61,44,3,1,4,0
6.9,97,63,6,3,2,1
7.37,50,91,2,3,2,1
8.52,93,86,4,0,3,1
6.19,68,78,1,3,1,0
8.34,74,66,5,1,1,0
8.52,82,60,5,1,1,1
7.08,60,64,5,2,3,0
5.08,82,92,4,0,3,1
6.59,30,63,3,3,2,0
8.5,59,73,6,2,2,0
7.18,56,62,6,3,2,0
6.2,51,82,3,4,3,1
6.7,66,64,5,1,2,0
8.04,75,70,4,0,4,1
7.75,80,50,3,0,1,0
6.96,73,51,6,0,6,0
6.83,60,72,5,0,1,0
6.81,75,54,3,2,6,0
6.28,71,99,4,0,5,1
8.82,84,45,8,4,4,1
6.88,81,61,6,2,5,1
8.42,70,72,7,0,1,1
8.72,56,67,5,1,2,0
8.2,60,57,5,1,2,1
6.77,61,59,4,1,2,0
7.6,65,59,2,1,2,0
7.18,74,68,4,0,3,1
6.3,80,97,5,2,0,1
7.52,69,73,4,1,3,0
6.02,70,87,6,2,2,1
8.39,72,78,3,2,4,1
6.74,62,86,4,0,6,0
7.4,56,35,3,0,3,0
7.48,43,68,4,2,3,0
6.94,59,88,2,4,3,0
7.79,77,64,4,1,4,0
6.73,59,94,4,0,1,0
8.07,66,91,5,0,6,1
5.85,76,65,5,0,3,0
7.33,77,65,4,0,2,0
9.14,53,58,5,1,6,0
6.2,84,63,5,2,6,0
6.52,86,55,4,0,4,0
7.71,53,77,6,0,0,0
7.38,57,53,5,1,4,0
7.55,87,79,4,3,2,1
7.69,67,80,7,1,3,1
7.83,36,50,6,4,2,1
8.31,49,92,8,1,3,1
7.61,66,78,5,0,4,0
6.96,52,81,4,0,2,0
7.87,63,62,4,2,6,0
9.1,70,80,5,1,2,1
7.07,91,86,8,1,1,1
6.23,65,70,5,2,4,0
8.31,86,98,7,2,5,1
7.08,91,72,4,0,6,1
5.03,91,86,4,2,4,1
8.05,74,75,7,1,2,0
6.66,40,79,6,1,6,0
7.11,76,50,8,1,5,1
7.53,85,76,6,1,2,1
7.39,68,62,4,0,3,0
7.91,96,60,5,1,3,1
6.76,82,94,7,0,3,0
7.71,78,69,5,1,6,0
6.94,86,58,4,0,1,0
7.94,75,67,4,0,4,0
7.82,32,55,5,0,2,0
6.26,62,90,3,1,3,1
8.29,87,62,6,3,4,0
6.66,57,78,3,0,2,0
8.01,66,89,4,1,3,0
7.57,54,65,6,0,6,0
9.04,96,78,5,2,4,1
6.98,95,58,6,0,3,0
6.85,56,100,4,0,2,1
7.18,72,84,8,0,3,1
6.9,59,69,3,4,4,1
8.0,79,61,2,1,5,1
5.58,77,70,7,0,2,1
6.15,82,67,6,0,4,1
6.13,74,97,4,0,1,0
8.15,100,56,8,0,0,0
8.91,54,73,5,2,3,0
7.1,44,71,8,1,2,0
7.03,64,70,5,1,1,1
7.27,46,70,5,0,4,0
8.36,47,70,4,1,3,0
